"Path","File","Date Acquired","Sample","Misc"
"D:\GCMS_User\R312_Liying\Data\20231128\","SYG-E22-2-2-30%-2-SCAN.D","29 Nov 2023  14:50","SYG-E22-2-2-30%",""
"TIC: SYG-E22-2-2-30%-2-SCAN.D\data.ms","","","",""
"8.701","10480",,,
"8.705","7341",,,
"8.71","4473",,,
"8.714","3813",,,
"8.718","2606",,,
"8.723","2892",,,
"8.727","2593",,,
"8.732","2544",,,
"8.736","2736",,,
"8.74","2507",,,
"8.745","3030",,,
"8.749","3138",,,
"8.753","3285",,,
"8.758","3047",,,
"8.762","3344",,,
"8.766","2133",,,
"8.771","2133",,,
"8.775","1586",,,
"8.78","993",,,
"8.784","1517",,,
"8.788","1084",,,
"8.793","1346",,,
"8.797","1100",,,
"8.801","1708",,,
"8.806","2444",,,
"8.81","2749",,,
"8.814","2787",,,
"8.819","3370",,,
"8.823","2728",,,
"8.828","2712",,,
"8.832","2120",,,
"8.836","2584",,,
"8.841","1638",,,
"8.845","1226",,,
"8.849","1264",,,
"8.854","1419",,,
"8.858","941",,,
"8.862","1454",,,
"8.867","833",,,
"8.871","565",,,
"8.875","526",,,
"8.88","389",,,
"8.884","843",,,
"8.889","579",,,
"8.893","557",,,
"8.897","325",,,
"8.902","317",,,
"8.906","165",,,
"8.91","231",,,
"8.915","212",,,
"8.919","169",,,
"8.923","203",,,
"8.928","220",,,
"8.932","217",,,
"8.937","600",,,
"8.941","480",,,
"8.945","488",,,
"8.95","753",,,
"8.954","935",,,
"8.958","1123",,,
"8.963","906",,,
"8.967","538",,,
"8.971","1024",,,
"8.976","1719",,,
"8.98","1958",,,
"8.985","1854",,,
"8.989","2001",,,
"8.993","1851",,,
"8.998","1500",,,
"9.002","1422",,,
"9.006","1038",,,
"9.011","1267",,,
"9.015","1239",,,
"9.019","1254",,,
"9.024","1472",,,
"9.028","1000",,,
"9.033","1185",,,
"9.037","1304",,,
"9.041","838",,,
"9.046","452",,,
"9.05","429",,,
"9.054","167",,,
"9.059","170",,,
"9.063","321",,,
"9.067","342",,,
"9.072","154",,,
"9.076","0",,,
"9.08","370",,,
"9.085","192",,,
"9.089","597",,,
"9.094","595",,,
"9.098","390",,,
"9.102","427",,,
"9.107","188",,,
"9.111","159",,,
"9.115","169",,,
"9.12","175",,,
"9.124","413",,,
"9.128","250",,,
"9.133","0",,,
"9.137","155",,,
"9.142","322",,,
"9.146","162",,,
"9.15","151",,,
"9.155","208",,,
"9.159","190",,,
"9.163","223",,,
"9.168","180",,,
"9.172","167",,,
"9.176","183",,,
"9.181","155",,,
"9.185","197",,,
"9.19","204",,,
"9.194","264",,,
"9.198","162",,,
"9.203","152",,,
"9.207","218",,,
"9.211","327",,,
"9.216","156",,,
"9.22","188",,,
"9.224","0",,,
"9.229","197",,,
"9.233","206",,,
"9.237","0",,,
"9.242","192",,,
"9.246","178",,,
"9.251","154",,,
"9.255","163",,,
"9.259","197",,,
"9.264","189",,,
"9.268","168",,,
"9.272","0",,,
"9.277","0",,,
"9.281","343",,,
"9.285","152",,,
"9.29","0",,,
"9.294","176",,,
"9.299","344",,,
"9.303","202",,,
"9.307","240",,,
"9.312","0",,,
"9.316","319",,,
"9.32","0",,,
"9.325","336",,,
"9.329","160",,,
"9.333","179",,,
"9.338","230",,,
"9.342","220",,,
"9.347","352",,,
"9.351","259",,,
"9.355","514",,,
"9.36","201",,,
"9.364","339",,,
"9.368","220",,,
"9.373","387",,,
